experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,12,100.40303606148841,34.96929858611343,65.43373747537498
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,13,98.62264984213893,34.12107060426394,64.50157923787498
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,14,87.0188425532672,31.304977466160988,55.71386508710623
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,15,56.821527278352214,24.993636745858456,31.827890532493754
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,16,81.50024419271799,29.699359865755486,51.8008843269625
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,17,64.15319960094797,24.486479063876107,39.66672053707186
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,18,63.043917423994195,25.013461417950445,38.03045600604375
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,19,63.30527895966489,25.593116016521147,37.71216294314374
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,20,92.6565224640099,31.719928653372456,60.93659381063745
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,21,98.22257272016937,34.602943772044384,63.61962894812498
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,22,79.34191128375993,30.463885199309942,48.87802608445
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,23,84.05386889959863,31.36568649094861,52.68818240865
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,24,99.91641261086141,34.81470246451768,65.10171014634372
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,25,92.70732539175175,32.74501696099863,59.96230843075311
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,26,69.1141663475621,27.99903099648087,41.115135351081236
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,27,66.5250683777676,25.811814925986354,40.71325345178124
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,28,71.47140204263613,27.126290072323663,44.34511197031247
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,29,59.85504611437771,28.227439399596463,31.62760671478125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,0,8.209398107501968,4.976579052889468,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,1,8.030275550121015,4.797456495508516,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,2,8.020021327311493,4.787202272698993,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,3,8.75877836718768,5.525959312575182,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,4,8.480697279479745,5.247878224867246,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,5,7.947423208787683,4.714604154175182,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,6,8.237166364901967,5.004347310289468,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,7,8.079208269787683,4.846389215175184,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,8,8.090117453663872,4.857298399051373,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,9,8.106976527187683,4.874157472575184,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,10,8.918372975187683,5.685553920575183,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,11,8.465270469813078,5.232451415200579,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,12,8.859186032711492,5.626366978098992,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,13,8.193531643568635,4.9607125889561345,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,14,8.00415486337816,4.771335808765659,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,15,8.302266719098792,5.069447664486294,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,16,8.237166364901967,5.004347310289468,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,17,8.237166364901967,5.004347310289468,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,18,8.13905017333054,4.906231118718041,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,19,8.454545988787682,5.221726934175182,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,20,8.238899492076573,5.006080437464073,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,21,8.00726511233054,4.774446057718039,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,22,8.253326461168633,5.020507406556135,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,23,8.723958965663872,5.491139911051372,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,24,8.277584628076573,5.044765573464073,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,25,8.202278878933715,4.969459824321215,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,26,8.806148674155937,5.573329619543436,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,27,8.517301815822604,5.2844827612101035,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,28,8.184497222565462,4.951678167952961,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,29,8.454211014108317,5.221391959495817,3.2328190546125
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Rpartition+RMatch,0,85.04686114814737,29.882319126809847,55.1645420213375
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Rpartition+RMatch,1,98.3345846896379,33.285616877262925,65.04896781237498
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Rpartition+RMatch,2,66.00086926720726,21.95490529583232,44.045963971374945
